Match,,Second.SampleID,First.SampleID,X,First.ID,Loci.typed,Second.ID,Loci.typed.1,Matching.loci,Mismatching.loci,pID,pIDsib,Status,First.year,Second.year,First.SampleID_dd,Second.SampleID_dd,First.Lat,First.Lon,First.Type.o,First.Anem_ID,First.Date,First.Size,First.Size_type,First.Tail_color,First.Age,First.Sex,First.Collector,First.Notes,First.mass_g,Second.Lat,Second.Lon,Second.Type.o,Second.Anem_ID,Second.Date,Second.Size,Second.Size_type,Second.Tail_color,Second.Age,Second.Sex,Second.Collector,Second.Notes,Second.mass_g,distkm
MATCH_re-genotyped,21,APCL13_207,APCL13_207,37,APCL_13207L0444,265,APCL_13207L1024,206,192,14,0,0,Fuzzy match,2013,2013,APCL_13207,APCL_13207,10.873354,124.7120828,NA,114,5/27/13,8.7,FL,YP,A,NA,MLP,NA,NA,10.873354,124.7120828,NA,114,5/27/13,8.7,FL,YP,A,NA,MLP,NA,NA,0
same year small dist,2,APCL13_050,APCL13_048,4,APCL_13048L0881,250,APCL_13050L1597,262,229,18,0,0,Fuzzy match,2013,2013,APCL_13048,APCL_13050,10.7562858,124.7857988,NA,29,5/23/13,4,FL,W,L,NA,MLP,NA,NA,10.756221,124.785645,NA,31,5/23/13,9.1,FL,O,A,NA,MLP,NA,NA,0.018281147
same year small dist,77,APCL14_316,APCL14_308,88,APCL_14310L1748,263,APCL_14318L1300,265,242,21,0,0,Fuzzy match,2014,2014,APCL_14310,APCL_14318,10.635041,124.776216,NA,569,6/22/14,6.3,FL,Y,L,NA,MRS,NA,NA,10.635201,124.776152,NA,575,6/22/14,8.9,FL,Y,L,NA,MRS,NA,NA,0.019116679
same year small dist,75,APCL14_315,APCL14_307,85,APCL_14309L1018,265,APCL_14317L0806,265,243,22,0,0,Fuzzy match,2014,2014,APCL_14309,APCL_14317,10.635035,124.776226,NA,568,6/22/14,4.8,FL,YR,L,NA,MRS,NA,NA,10.635201,124.776152,NA,575,6/22/14,8.4,FL,O,A,NA,MRS,NA,NA,0.020152239
same year small dist,76,APCL14_315,APCL14_307,86,APCL_14309L1728,265,APCL_14317L0806,265,250,15,0,0,Fuzzy match,2014,2014,APCL_14309,APCL_14317,10.635035,124.776226,NA,568,6/22/14,4.8,FL,YR,L,NA,MRS,NA,NA,10.635201,124.776152,NA,575,6/22/14,8.4,FL,O,A,NA,MRS,NA,NA,0.020152239
same year same anem,3,APCL13_051,APCL13_050,6,APCL_13050L1033,233,APCL_13051L1598,265,209,24,0,0,Fuzzy match,2013,2013,APCL_13050,APCL_13051,10.756221,124.785645,NA,31,5/23/13,9.1,FL,O,A,NA,MLP,NA,NA,10.756221,124.785645,NA,31,5/23/13,4.6,FL,YR,L,NA,MLP,NA,NA,0
same year small dist,20,APCL13_199,APCL13_196,35,APCL_13196L1169,150,APCL_13199L1624,264,123,26,0,0,Fuzzy match,2013,2013,APCL_13196,APCL_13199,10.8737863,124.7113043,NA,108,5/27/13,7.6,FL,YP,A,NA,MLP,196 had a very ragged tail,NA,10.8736643,124.7115205,NA,110,5/27/13,4,FL,W,L,NA,MLP,NA,NA,0.027228893
"same year, large dist",18,APCL13_131,APCL13_120,26,APCL_13120L1084,265,APCL_13131L1092,265,259,6,0,0,Fuzzy match,2013,2013,APCL_13120,APCL_13131,10.7991308,124.7685015,NA,NA,5/25/13,11.1,FL,O,A,NA,MLP,melanistic,NA,10.7989108,124.7686843,NA,72,5/25/13,10.7,FL,O,A,NA,MLP,"Was this one already sampled? Looks cut, but hard to tell.",NA,0.031576799
"diff year, small dist",52,APCL14_049,APCL13_565,57,APCL_13565L1735,265,APCL_14049L1740,265,253,12,0,0,Fuzzy match,2013,2014,APCL_13565,APCL_14049,10.633602,124.7767905,NA,311,6/3/13,9.6,FL,YP,A,NA,MLP,NA,NA,10.63357,124.776796,NA,406,6/12/14,8.8,FL,YR,L,NA,MRS,multiple pieces,NA,0.003610039
"same year, large dist",80,APCL14_423,APCL14_399,90,APCL_14399L0798,265,APCL_14423L1341,265,243,22,0,0,Fuzzy match,2014,2014,APCL_14399,APCL_14423,10.871527,124.714255,NA,614,6/23/14,5.5,FL,Y,L,NA,MRS,NA,NA,10.871697,124.713987,NA,651,6/24/14,5.5,FL,WR,L,NA,MRS,NA,NA,0.034839444
"diff year, small dist",51,APCL14_049,APCL13_565,55,APCL_13565L0670,265,APCL_14049L1740,265,254,11,0,0,Fuzzy match,2013,2014,APCL_13565,APCL_14049,10.633602,124.7767905,NA,311,6/3/13,9.6,FL,YP,A,NA,MLP,NA,NA,10.63357,124.776796,NA,406,6/12/14,8.8,FL,YR,L,NA,MRS,multiple pieces,NA,0.003610039
"same year, large dist",81,APCL14_423,APCL14_399,91,APCL_14399L0798,265,APCL_14423L1746,263,248,15,0,0,Fuzzy match,2014,2014,APCL_14399,APCL_14423,10.871527,124.714255,NA,614,6/23/14,5.5,FL,Y,L,NA,MRS,NA,NA,10.871697,124.713987,NA,651,6/24/14,5.5,FL,WR,L,NA,MRS,NA,NA,0.034839444
"diff year, small dist",49,APCL14_049,APCL13_565,54,APCL_13565L0670,265,APCL_14049L0726,265,257,8,0,0,Fuzzy match,2013,2014,APCL_13565,APCL_14049,10.633602,124.7767905,NA,311,6/3/13,9.6,FL,YP,A,NA,MLP,NA,NA,10.63357,124.776796,NA,406,6/12/14,8.8,FL,YR,L,NA,MRS,multiple pieces,NA,0.003610039
"diff year, small dist",78,APCL14_357,APCL13_393,48,APCL_13393L1667,254,APCL_14XXXL0822,265,230,24,0,0,Fuzzy match,2013,2014,APCL_13393,APCL_14XXX,10.869132,124.7164225,NA,226,5/30/13,4.1,FL,YR,L,NA,MLP,NA,NA,10.869097,124.716405,NA,584,6/23/14,9.4,FL,YP,A,NA,MRS,2015-09-01: failed extraction,NA,0.004335956
"same year, large dist",84,APCL14_424,APCL14_400,92,APCL_14400L0799,265,APCL_14424L1342,264,242,22,0,0,Fuzzy match,2014,2014,APCL_14400,APCL_14424,10.871527,124.714255,NA,614,6/23/14,4.3,FL,Y,L,NA,MRS,NA,NA,10.871694,124.713949,NA,652,6/24/14,5.2,FL,YR,L,NA,MRS,NA,NA,0.038227935
"same year, large dist",83,APCL14_424,APCL14_400,93,APCL_14400L0799,265,APCL_14424L1747,265,249,16,0,0,Fuzzy match,2014,2014,APCL_14400,APCL_14424,10.871527,124.714255,NA,614,6/23/14,4.3,FL,Y,L,NA,MRS,NA,NA,10.871694,124.713949,NA,652,6/24/14,5.2,FL,YR,L,NA,MRS,NA,NA,0.038227935
MATCH_re-genotyped,6,APCL13_057,APCL13_057,9,APCL_13057L1040,256,APCL_13057L1718,265,229,27,0,0,Fuzzy match,2013,2013,APCL_13057,APCL_13057,10.7550025,124.7851245,NA,35,5/23/13,3.2,FL,YR,L,NA,MLP,NA,NA,10.7550025,124.7851245,NA,35,5/23/13,3.2,FL,YR,L,NA,MLP,NA,NA,0
"diff year, small dist",69,APCL14_253,APCL13_587,68,APCL_13587L1737,265,APCL_14255L0737,265,244,21,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14255,10.6340205,124.776657,NA,321,6/3/13,9.1,FL,O,A,NA,MLP,"dark fish, took photos",NA,10.634,124.776612,NA,534,6/22/14,9.3,FL,O,A,NA,MRS,NA,NA,0.005420465
"same year, large dist",86,APCL14_425,APCL14_401,94,APCL_14401L1005,265,APCL_14425L1343,253,235,18,0,0,Fuzzy match,2014,2014,APCL_14401,APCL_14425,10.871536,124.714258,NA,615,6/23/14,5.8,FL,Y,L,NA,MRS,NA,NA,10.871701,124.713919,NA,653,6/24/14,5.2,FL,WR,L,NA,MRS,NA,NA,0.041315619
MATCH_re-genotyped,44,APCL14_032,APCL14_032,79,APCL_14032L0947,263,APCL_14032L1739,263,236,25,0,0,Fuzzy match,2014,2014,APCL_14032,APCL_14032,10.652397,124.78372,NA,394,6/12/14,9.6,FL,WR,L,NA,MRS,NA,NA,10.652397,124.78372,NA,394,6/12/14,9.6,FL,WR,L,NA,MRS,NA,NA,0
"diff year, diff anem",45,APCL14_032,APCL13_147,30,APCL_13147L0434,265,APCL_14032L1739,263,236,27,0,0,Fuzzy match,2013,2014,APCL_13147,APCL_14032,10.6524255,124.783547,NA,82,5/26/13,11,FL,O,A,NA,MLP,NA,NA,10.652397,124.78372,NA,394,6/12/14,9.6,FL,WR,L,NA,MRS,NA,NA,0.019168939
MATCH_re-genotyped,82,APCL14_423,APCL14_423,96,APCL_14423L1341,265,APCL_14423L1746,263,236,27,0,0,Fuzzy match,2014,2014,APCL_14423,APCL_14423,10.871697,124.713987,NA,651,6/24/14,5.5,FL,WR,L,NA,MRS,NA,NA,10.871697,124.713987,NA,651,6/24/14,5.5,FL,WR,L,NA,MRS,NA,NA,0
"diff year, small dist",68,APCL14_253,APCL13_587,66,APCL_13587L0678,265,APCL_14255L1742,262,247,15,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14255,10.6340205,124.776657,NA,321,6/3/13,9.1,FL,O,A,NA,MLP,"dark fish, took photos",NA,10.634,124.776612,NA,534,6/22/14,9.3,FL,O,A,NA,MRS,NA,NA,0.005420465
MATCH_re-genotyped,88,APCL14_425,APCL14_425,98,APCL_14425L1343,253,APCL_14425L1729,265,238,15,0,0,Fuzzy match,2014,2014,APCL_14425,APCL_14425,10.871701,124.713919,NA,653,6/24/14,5.2,FL,WR,L,NA,MRS,NA,NA,10.871701,124.713919,NA,653,6/24/14,5.2,FL,WR,L,NA,MRS,NA,NA,0
"same year, large dist",87,APCL14_425,APCL14_401,95,APCL_14401L1005,265,APCL_14425L1729,265,249,16,0,0,Fuzzy match,2014,2014,APCL_14401,APCL_14425,10.871536,124.714258,NA,615,6/23/14,5.8,FL,Y,L,NA,MRS,NA,NA,10.871701,124.713919,NA,653,6/24/14,5.2,FL,WR,L,NA,MRS,NA,NA,0.041315619
MATCH_re-genotyped,92,APCL14_452,APCL14_452,100,APCL_14452L0744,265,APCL_14452L1754,253,239,14,0,0,Fuzzy match,2014,2014,APCL_14452,APCL_14452,10.859822,124.722686,NA,676,6/26/14,7.7,FL,O,A,NA,MRS,NA,NA,10.859822,124.722686,NA,676,6/26/14,7.7,FL,O,A,NA,MRS,NA,NA,0
MATCH_re-genotyped,40,APCL14_006,APCL14_006,78,APCL_14006L0722,265,APCL_14006L1738,265,240,25,0,0,Fuzzy match,2014,2014,APCL_14006,APCL_14006,10.742899,124.787067,NA,284,6/7/14,8.8,FL,O,A,NA,MLP,NA,NA,10.742899,124.787067,NA,284,6/7/14,8.8,FL,O,A,NA,MLP,NA,NA,0
"same year, large dist",8,APCL13_075,APCL13_071,11,APCL_13071L1052,235,APCL_13075L1646,265,211,24,0,0,Fuzzy match,2013,2013,APCL_13071,APCL_13075,10.7685435,124.7839685,NA,41,5/24/13,2.9,FL,YR,L,NA,MLP,NA,NA,10.7688715,124.783722,NA,42,5/24/13,4,FL,YR,L,NA,MLP,NA,NA,0.045335059
"diff year, small dist",67,APCL14_253,APCL13_587,65,APCL_13587L0678,265,APCL_14255L0737,265,260,5,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14255,10.6340205,124.776657,NA,321,6/3/13,9.1,FL,O,A,NA,MLP,"dark fish, took photos",NA,10.634,124.776612,NA,534,6/22/14,9.3,FL,O,A,NA,MRS,NA,NA,0.005420465
diff year diff anem,61,APCL14_153,APCL13_584,61,APCL_13584L0677,265,APCL_14155L1741,265,241,24,0,0,Fuzzy match,2013,2014,APCL_13584,APCL_14155,10.6339953,124.7767205,NA,320,6/3/13,8.2,FL,O,A,NA,MLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
same anem,1,APCL13_018,APCL12_022,1,APCL_12022L1733,265,APCL_13018L0465,263,242,21,0,0,Fuzzy match,2012,2013,APCL_12022,APCL_13018,10.74403675,124.7862753,NA,NA,5/6/12,10.6,FL,NA,A,NA,MLP,"Visca1 temperature logger; 2016-01-04: calling an adult based on size, no tail shape provided, MRS",NA,NA,NA,NA,NA,NA,NA,FL,NA,NA,NA,MLP,NA,0.0151,NA
"diff year, small dist",42,APCL14_017,APCL13_027,3,APCL_13027L0485,263,APCL_14017L0893,265,242,21,0,0,Fuzzy match,2013,2014,APCL_13027,APCL_14017,10.7644713,124.7854128,NA,14,5/23/13,9.4,FL,O,A,NA,MLP,NA,NA,10.764416,124.785318,NA,14,6/10/14,9.3,FL,O,A,NA,MLP,NA,NA,0.012044068
MATCH_re-genotyped,59,APCL14_126,APCL14_126,81,APCL_14126L1321,250,APCL_14126L1701,265,242,8,0,0,Fuzzy match,2014,2014,APCL_14126,APCL_14126,NA,NA,NA,450,6/16/14,8.1,FL,O,A,NA,MRS,NA,NA,NA,NA,NA,450,6/16/14,8.1,FL,O,A,NA,MRS,NA,NA,NA
"diff year, small dist",55,APCL14_095,APCL13_485,51,APCL_13485L0658,262,APCL_14095L0923,265,253,9,0,0,Fuzzy match,2013,2014,APCL_13485,APCL_14095,10.8731143,124.7119573,NA,276,5/31/13,2.7,FL,YR,L,NA,MLP,NA,NA,10.873067,124.712098,NA,430,6/13/14,7.5,FL,O,A,NA,MLP,Seems unlikely that both of the large YPs are really from this anemone.,NA,0.016239487
MATCH_re-genotyped,74,APCL14_308,APCL14_308,87,APCL_14310L0597,262,APCL_14310L1748,263,242,20,0,0,Fuzzy match,2014,2014,APCL_14310,APCL_14310,10.635041,124.776216,NA,569,6/22/14,6.3,FL,Y,L,NA,MRS,NA,NA,10.635041,124.776216,NA,569,6/22/14,6.3,FL,Y,L,NA,MRS,NA,NA,0
"same year, large dist",12,APCL13_083,APCL13_080,16,APCL_13080L1059,242,APCL_13083L1614,259,210,26,0,0,Fuzzy match,2013,2013,APCL_13080,APCL_13083,10.7689558,124.7836465,NA,45,5/24/13,9.5,FL,O,A,NA,MLP,NA,NA,10.7693565,124.783488,NA,47,5/24/13,9.7,FL,YP,A,NA,MLP,NA,NA,0.047801596
"same year, large dist",36,APCL13_651,APCL13_639,73,APCL_13639L0979,265,APCL_13651L0980,265,251,14,0,0,Fuzzy match,2013,2013,APCL_13639,APCL_13651,10.8732035,124.712417,NA,356,6/4/13,5.8,FL,YR,L,NA,MLP,NA,NA,10.8607693,124.7211288,NA,NA,6/4/13,7.7,FL,O,A,NA,MLP,"on sand, not even close to the reef, so couldn't tag",NA,1.678296547
"same year, large dist",37,APCL13_651,APCL13_639,74,APCL_13639L0979,265,APCL_13651L1725,265,253,12,0,0,Fuzzy match,2013,2013,APCL_13639,APCL_13651,10.8732035,124.712417,NA,356,6/4/13,5.8,FL,YR,L,NA,MLP,NA,NA,10.8607693,124.7211288,NA,NA,6/4/13,7.7,FL,O,A,NA,MLP,"on sand, not even close to the reef, so couldn't tag",NA,1.678296547
"same year, large dist",13,APCL13_086,APCL13_085,18,APCL_13085L1063,226,APCL_13086L1654,264,202,24,0,0,Fuzzy match,2013,2013,APCL_13085,APCL_13086,10.7728598,124.78316,NA,48,5/24/13,6.5,FL,O,A,NA,MLP,NA,NA,10.7443475,124.7865788,NA,49,5/24/13,4.1,FL,WP,A,NA,MLP,NA,NA,3.19234448
MATCH_re-genotyped,85,APCL14_424,APCL14_424,97,APCL_14424L1342,264,APCL_14424L1747,265,243,21,0,0,Fuzzy match,2014,2014,APCL_14424,APCL_14424,10.871694,124.713949,NA,652,6/24/14,5.2,FL,YR,L,NA,MRS,NA,NA,10.871694,124.713949,NA,652,6/24/14,5.2,FL,YR,L,NA,MRS,NA,NA,0
"same year, large dist",15,APCL13_098,APCL13_072,13,APCL_13072L1053,226,APCL_13098L1069,117,82,27,0,0,Fuzzy match,2013,2013,APCL_13072,APCL_13098,10.7688715,124.783722,NA,42,5/24/13,7.8,FL,YP,A,NA,MLP,7.8cm fish had slightly orange tail edges: transitional?,NA,10.8064623,124.766024,NA,54,5/25/13,3.5,FL,YR,L,NA,MLP,NA,NA,4.605288697
"diff year, small dist",53,APCL14_060,APCL13_572,58,APCL_13572L0874,265,APCL_14060L0921,265,256,9,0,0,Fuzzy match,2013,2014,APCL_13572,APCL_14060,10.6336893,124.7767925,NA,315,6/3/13,3,FL,YR,L,NA,MLP,NA,NA,10.633935,124.776683,NA,411,6/12/14,8.5,FL,YR,L,NA,MRS,NA,NA,0.029826308
MATCH_re-genotyped,14,APCL13_087,APCL13_087,19,APCL_13087L0423,265,APCL_13087L1719,265,245,20,0,0,Fuzzy match,2013,2013,APCL_13087,APCL_13087,10.743469,124.7866575,NA,50,5/24/13,9.8,FL,O,A,NA,MLP,NA,NA,10.743469,124.7866575,NA,50,5/24/13,9.8,FL,O,A,NA,MLP,NA,NA,0
MATCH_re-genotyped,17,APCL13_130,APCL13_130,27,APCL_13130L0432,265,APCL_13130L1720,265,245,20,0,0,Fuzzy match,2013,2013,APCL_13130,APCL_13130,10.798464,124.7687123,NA,71,5/25/13,6.8,FL,O,A,NA,MLP,NA,NA,10.798464,124.7687123,NA,71,5/25/13,6.8,FL,O,A,NA,MLP,NA,NA,0
MATCH_re-genotyped,34,APCL13_587,APCL13_587,64,APCL_13587L0678,265,APCL_13587L1737,265,245,20,0,0,Fuzzy match,2013,2013,APCL_13587,APCL_13587,10.6340205,124.776657,NA,321,6/3/13,9.1,FL,O,A,NA,MLP,"dark fish, took photos",NA,10.6340205,124.776657,NA,321,6/3/13,9.1,FL,O,A,NA,MLP,"dark fish, took photos",NA,0
"diff year, small dist",71,APCL14_268,APCL13_601,71,APCL_13601L0683,265,APCL_14270L1013,265,247,18,0,0,Fuzzy match,2013,2014,APCL_13601,APCL_14270,10.6341135,124.776679,NA,326,6/3/13,5.3,FL,YR,L,NA,MLP,NA,NA,10.634374,124.776761,NA,543,6/22/14,8.3,FL,Y,L,NA,MRS,NA,NA,0.030320646
"diff year, diff anem",79,APCL14_390,APCL13_615,72,APCL_13615L0884,265,APCL_14XXXL1282,265,245,20,0,0,Fuzzy match,2013,2014,APCL_13615,APCL_14XXX,10.8707983,124.714551,NA,339,6/4/13,5.3,FL,WP,A,NA,MLP,NA,NA,10.871378,124.714208,NA,606,6/23/14,9.1,FL,O,A,NA,MRS,2015-09-01: failed extraction,NA,0.074551717
"diff year, diff anem",43,APCL14_032,APCL13_147,29,APCL_13147L0434,265,APCL_14032L0947,263,247,16,0,0,Fuzzy match,2013,2014,APCL_13147,APCL_14032,10.6524255,124.783547,NA,82,5/26/13,11,FL,O,A,NA,MLP,NA,NA,10.652397,124.78372,NA,394,6/12/14,9.6,FL,WR,L,NA,MRS,NA,NA,0.019168939
"diff year, diff anem",66,APCL14_253,APCL13_587,69,APCL_13587L1737,265,APCL_14255L1742,262,247,15,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14255,10.6340205,124.776657,NA,321,6/3/13,9.1,FL,O,A,NA,MLP,"dark fish, took photos",NA,10.634,124.776612,NA,534,6/22/14,9.3,FL,O,A,NA,MRS,NA,NA,0.005420465
diff year_large dist,46,APCL14_036,APCL13_145,28,APCL_13145L1098,265,APCL_14036L0723,265,256,9,0,0,Fuzzy match,2013,2014,APCL_13145,APCL_14036,10.652842,124.7837035,NA,80,5/26/13,9.6,FL,YP,A,NA,MLP,anemone is embedded in branching coral,NA,10.652146,124.783819,NA,395,6/12/14,11.1,FL,YR,L,NA,MRS,"multiple pieces , ",NA,0.078414085
diff year_large dist,72,APCL14_289,APCL13_557,52,APCL_13557L1218,264,APCL_14291L1206,250,226,24,0,0,Fuzzy match,2013,2014,APCL_13557,APCL_14291,10.6334045,124.7769405,NA,307,6/3/13,8,FL,O,A,NA,MLP,NA,NA,10.634499,124.776365,NA,557,6/22/14,9.5,FL,Y,L,NA,MRS,NA,NA,0.136993378
diff year_large dist,89,APCL14_433,APCL13_266,40,APCL_13266L0299,241,APCL_14433L1283,265,222,19,0,0,Fuzzy match,2013,2014,APCL_13266,APCL_14433,10.8688405,124.716458,NA,148,5/28/13,3.2,FL,YR,L,NA,MLP,NA,NA,10.871811,124.713813,NA,660,6/24/14,7.6,FL,O,A,NA,MRS,NA,NA,0.438777504
MATCH_re-genotyped,70,APCL14_253,APCL14_253,82,APCL_14255L0737,265,APCL_14255L1742,262,248,14,0,0,Fuzzy match,2014,2014,APCL_14255,APCL_14255,10.634,124.776612,NA,534,6/22/14,9.3,FL,O,A,NA,MRS,NA,NA,10.634,124.776612,NA,534,6/22/14,9.3,FL,O,A,NA,MRS,NA,NA,9.49E-05
"same year, large dist",16,APCL13_101,APCL13_090,21,APCL_13090L0425,261,APCL_13101L0427,261,261,0,1.42E-79,2.16E-36,Exact match,2013,2013,APCL_13090,APCL_13101,10.7440008,124.7863023,NA,51,5/24/13,10.3,FL,YP,A,NA,MLP,NA,NA,10.809143,124.765432,NA,57,5/25/13,6.1,FL,YR,L,NA,MLP,NA,NA,7.593764813
diff year_large dist,91,APCL14_447,APCL13_447,49,APCL_13447L0846,265,APCL_14447L1238,265,248,17,0,0,Fuzzy match,2013,2014,APCL_13447,APCL_14447,10.8738498,124.7105893,NA,256,5/31/13,5.1,FL,YR,L,NA,MLP,NA,NA,10.871447,124.713943,NA,671,6/24/14,5.3,FL,WP,A,NA,MRS,NA,NA,0.453323215
MATCH_re-genotyped,38,APCL13_651,APCL13_651,75,APCL_13651L0980,265,APCL_13651L1725,265,249,16,0,0,Fuzzy match,2013,2013,APCL_13651,APCL_13651,10.8607693,124.7211288,NA,NA,6/4/13,7.7,FL,O,A,NA,MLP,"on sand, not even close to the reef, so couldn't tag",NA,10.8607693,124.7211288,NA,NA,6/4/13,7.7,FL,O,A,NA,MLP,"on sand, not even close to the reef, so couldn't tag",NA,0
